title,type,weight,year,tester,review,flavors,inspiration,color,images
Shin Ramyun,noodle,120g,1986,me,"it's the OG, very good, perfect amount of spice for me","spicy, original iconic ramen!",,#248f42,entry-1.jpg
Ansungtangmyun,noodle,125g,1983,me,"it has a beefy quality and isn't as spicy, but it's still very good","anseong noodle soup, made from beef broth and seaweed (not as spicy as the original shin ramen), soybean paste and chili powder",Ansung,#829bad,entry-2.jpg
Baked Cuttlefish snack,snack,75g,2018,me,"it doesn't taste good in my opinion, but my sister likes this snack very much because she's a fan of cuttlefish",grilled cuttlefish,,#4cf5e8,entry-3.jpg
Banana Kick,snack,75g,1978,my sister,"she likes banana, so she thinks it's good",banana,,#e28b9d,entry-4.jpg
Beef flavor noodles,noodle,115g,1989,me,"strong beef flavor, which I like; garlicy and has an onion aftertaste, so I don't recommend it if you don't like onion breath","beef flavor, garlic, onion",Hot pot,#0cccf4,entry-5.jpg
Budae Jjigae,noodle,127g,2016,me,"as someone who loves budae jigae, it's very spicy, with lots of flavor, might even be better than the OG shin ramen! the noodles are chewy and soft as well","ham, fish cake, green onions, budae jigae (korean army stew)",Budae jigae (Korean army stew),#6bb518,entry-6.jpg
Chal Bibimmyun,noodle,130g,2005,me and my sister,"I liked this one, spicy as usual, but I especially liked the chili powder;  my sister thought it was a little too sour","sour bibim sauce; chili powder, sesame oil",Bibimmyun,#7dd084,entry-7.jpg
Champong Noodle Soup (Matchampong),noodle,130g,2015,me,"I love champong by itself, so eating this wasn't any different; it felt more like eating ramen than champong though","champong; seafood, vegetables",Champong,#6d13ba,entry-8.jpg
Champong Ramyun,noodle,124g,1992,me,I didn't like this one because of the cuttlefish taste,"cuttlefish, champong, seafood, vegetables",,#155d6c,entry-9.jpg
Chapaguri,noodle,140g,2021,me and my sister,"my sister likes chapaguri, i don't. She likes that it's savory and spicy and basically ramen with a twist; it also helps that ‘Korean Beef Sirloin Chapaguri’ was introduced in 2019 film ‘Parasite’ by Director Bong Joon-ho, a movie that we both liked","combination of two noodles: chapaghetti (chajang ramen) and neoguri (thick, chewy noodles)",Chapagetti,#db8381,entry-10.jpg
Zha Wang,noodle,134g,2015,me,"i don't like chapaguri, so this wasn't really my favorite either; slightly better than chapaguri and chapagetti","chajang sauce, kelp powder",,#84b4e1,entry-11.jpg
Chochung U-Gua,snack,unknown,1998,me,"Spicy rice chochung was enjoyed by a prince in the Choseon dynasty who believe that taking two spoonfuls of it would improve memory. Honestly, though, the snack is ok. It's not my most favorite, but it's sweet with a nice syrup and is crunchy too!","Spicy rice chochung, sweet pancake syrup",Chochung,#ec2f9b,entry-12.jpg
Cook Tam Pork Kimchi Hot Pot,noodle,560g,2019,me,"It's pretty good, relatively easy to make as all instant dishes are; it's basically ramen with hot pot; I recommend eating it during the winter months at night","kimchi, pork, sarimyun noodle",Hot pot,#4d40dc,entry-13.jpg
Cook Tam Rabokki,noodle,390g,2018,me,"initially, i didn't really like tteokbokki so I didn't like this dish. but after spending time in NY and eating lots of poultry and rice and other non-spicy foods, I ate this recently and really liked it. It's definitely very spicy. Both noodles and rice cake are very chewy.","chewy rice cake, sarimyun noodle, sliced fish cake, fermented red pepper paste",Tteokbokki,#756439,entry-14.jpg
Cook Tam Soup,noodle,450g,2020,me,"it's ok, probably one of less favorite ones to be honeest","beef; ribs, soft head meat, light brisket meat",Gomtang (beef bone soup),#b2b2f8,entry-15.jpg
Corn Snack,snack,70g,2020,me,"it's a bit bland, unfortunately not as much flavor as I expected when I first tried this ",corn,,#c0da4e,entry-16.jpg
Cuttlefish Snack,snack,70g,1992,my sister,"my sister likes cuttlefish; she says it tastes very similar to the baked cuttlefish snack; also likes the shape of the snacks (they are shaped like little cuttlefish, which is cute)",grilled cuttlefish,,#1b02b3,entry-17.jpg
Doongji Cold Noodles,noodle,162g,2008,me and my mom,"highly recommend eating this during the summer; it's a nice instant food to eat especially in August! I personally like it, but my mom found it a bit bland and lacking in quality.","Doongji cold noodles, Dongchimi broth",Naengmyeon,#bf8c6c,entry-18.jpg
Dried Champong Ramyun,noodle,103g,2021,"me, my mom, my sister","I prefered the champong ramen, but my sister prefered the dried champong ramen. my mom prefered neither.","champong; seafood, vegetables, garlic, bok choy, squid fish cake, mussels",Champong,#04b80b,entry-19.jpg
